N,P,K,temperature,humidity,ph,rainfall,label
71.32,46.38,29.3,22.62,80.33,6.31,204.04,rice
83.02,48.94,39.08,20.42,89.94,6.27,267.05,rice
95.71,41.22,43.41,22.69,88.81,6.77,274.54,rice
80.22,47.73,48.09,21.24,84.16,6.75,294.46,rice
63.74,57.92,54.66,21.06,81.21,6.0,254.49,rice
96.21,51.29,49.64,24.74,84.35,6.23,232.32,rice
70.32,46.61,41.61,25.08,86.87,6.57,250.78,rice
77.59,54.96,43.58,22.8,82.18,6.09,244.16,rice
77.25,46.76,49.7,19.6,88.61,6.34,293.26,rice
67.6,41.17,50.34,23.04,84.73,6.81,208.26,rice
99.4,42.25,51.57,23.94,88.97,6.16,245.87,rice
64.17,53.2,59.53,20.0,83.54,6.54,270.0,rice
72.49,48.97,38.1,22.94,80.42,6.74,266.34,rice
94.51,59.46,51.69,21.02,90.29,6.24,276.34,rice
100.23,40.79,38.4,26.8,80.08,6.7,217.65,rice
74.35,49.62,33.4,20.47,86.69,6.28,232.92,rice
69.05,46.93,35.04,20.98,81.77,5.9,259.82,rice
84.32,52.95,57.97,20.4,79.96,6.93,209.54,rice
83.37,58.71,45.52,22.29,88.47,6.93,256.6,rice
78.09,51.9,54.01,25.38,84.56,6.37,236.54,rice
58.09,55.75,34.03,20.63,84.16,5.85,287.12,rice
89.46,47.1,37.42,22.56,83.47,6.69,259.16,rice
83.47,59.06,57.06,21.45,86.45,6.07,216.1,rice
65.04,54.67,46.47,26.64,83.52,6.06,211.8,rice
74.69,42.34,31.72,23.14,88.22,5.56,235.22,rice
75.15,57.81,39.15,25.04,85.0,5.62,274.95,rice
95.88,46.98,33.4,23.16,88.88,6.74,243.96,rice
63.51,55.63,37.48,25.38,85.43,6.86,215.68,rice
82.69,59.86,49.5,23.73,81.1,6.03,289.52,rice
96.39,54.07,36.6,25.68,85.13,5.58,228.48,rice
69.1,48.68,37.0,25.1,88.32,5.77,284.73,rice
65.29,42.6,51.25,25.58,82.28,6.44,211.04,rice
66.39,42.38,45.62,25.33,86.25,6.98,267.46,rice
62.29,42.15,44.8,26.2,84.33,6.49,250.95,rice
66.79,43.61,38.37,20.22,89.7,5.86,264.38,rice
77.27,41.19,36.72,25.96,85.26,5.69,251.76,rice
84.56,48.93,48.41,22.88,84.67,5.94,263.69,rice
74.42,56.32,30.89,23.52,83.82,5.63,283.39,rice
66.63,51.69,53.77,22.13,80.76,6.68,295.35,rice
62.72,41.58,59.11,26.28,89.25,5.72,219.12,rice
89.64,51.37,38.21,21.49,83.48,5.65,200.52,rice
75.18,47.97,36.54,23.15,85.88,6.05,233.44,rice
91.74,43.93,50.3,21.32,87.55,6.87,209.07,rice
84.9,40.54,47.05,20.77,84.08,6.95,221.02,rice
76.81,50.62,53.36,26.09,88.03,6.26,274.91,rice
